image_id,metadata,locations
1,01043B_D333JPEG_cropped_resized(.jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d99174c6-7233-457d-80d3-568468e7c52c.jpeg""}"
2,01043B_D333JPEG_cropped_resized(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c624674d-8f51-413a-9824-9757382101b1.jpeg""}"
2,01043B_D333JPEG_cropped_resized(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ca000507-892a-43ad-a814-c0078336d8ca.jpeg""}"
3,01043B_D333JPEG_cropped_resized(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/61f755c7-8f1e-4158-9cf3-c92ca75ebd81.jpeg""}"
3,01043B_D333JPEG_cropped_resized(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9b7a8055-b93d-402e-9825-b4c92df78c8d.jpeg""}"
4,01043B_D333JPEG_cropped_resized(c).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/62ab0607-ec8c-4836-8cd0-24c49f2a17b0.jpeg""}"
5,01043B_DNA333JPEG(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9a35930c-3d8b-4fb5-8036-90521a5fd5c7.jpeg""}"
5,01043B_DNA333JPEG(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9899a8ab-8195-4a8b-8923-a9249b43fb1e.jpeg""}"
6,01043B_DNA333JPEG(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/de75bc8a-35d7-42ef-bf9b-b7fc3a00abab.jpeg""}"
6,01043B_DNA333JPEG(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2628bf4f-f65d-4ff6-8c5a-13d49bf93100.jpeg""}"
7,01043B_DNA333JPEG(d).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/4543bcd4-1b9e-4705-bfce-b76af1c6d234.jpeg""}"
7,01043B_DNA333JPEG(d).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9e9c8c24-80a5-40c7-b68a-62a473b4c956.jpeg""}"
8,01043B_DNA333JPEG_cropped_resize.jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/703b2c7b-9973-425e-8710-86724132b06f.jpeg""}"
9,01043B_DNA333JPEG_cropped_resized(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7e28a71a-cf6f-434e-b905-83791af28b6f.jpeg""}"
10,01043B_DNA333JPEG_cropped_resized(c).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9482b412-7980-46e6-ad21-795f344dda1b.jpeg""}"
11,36381_2JPEG_cropped_resized.jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/05114ae3-d1de-46a8-9e30-a7a504a8281a.jpeg""}"
12,AK288360_DF060JPEG(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f3e23349-22b7-4715-a5de-fd43f59f0b4f.jpeg""}"
12,AK288360_DF060JPEG(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/433fc9fc-e3c3-46b7-b0e8-0230b2c9b438.jpeg""}"
13,AK288360_DF060JPEG(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3d90398b-f344-4684-8790-dd9414954662.jpeg""}"
13,AK288360_DF060JPEG(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a3c2d2d3-6bd6-4c08-87b8-cb0c55c6be2b.jpeg""}"
14,AK288360_DF060JPEG(c).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/bd64a710-7d58-4cd3-a401-11caf9e0b72b.jpeg""}"
14,AK288360_DF060JPEG(c).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2dfd7fe9-c9ad-4a0a-9a71-969d2903a435.jpeg""}"
15,AK288360_DF060JPEG_cropped_resized(a).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/42bf5ef5-00ae-486e-b90f-7712af0fafd7.jpeg""}"
16,AK288360_DF060JPEG_cropped_resized(b).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/80b8b3f0-c2ca-4302-a246-4962b7270200.jpeg""}"
17,AK288360_DF060JPEG_cropped_resized(c).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7cd3cc30-7dc4-412e-9e28-0a7a61cbd6b1.jpeg""}"
18,AK288360_DF060JPEG_cropped_resized(d).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/092522c2-56da-4174-9649-1b07cc2f2e40.jpeg""}"
19,AK288360_DF060JPEG_cropped_resized(e).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f38f223e-3825-4250-8d44-cf5dbd9439da.jpeg""}"
20,AK288360_DF060JPEG_cropped_resized(f).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d78ff50b-65a1-4fff-b3ed-9d8ab1f1cb6f.jpeg""}"
21,AK288360_DF060JPEG_cropped_resized(g).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f05fef50-4374-4390-b499-80298d4bebf8.jpeg""}"
22,AK288360_DF060JPEG_cropped_resized(h).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b69cfaa5-5067-42cd-aa8c-6db969cf8a78.jpeg""}"
23,AK288360_DF060JPEG_cropped_resized(i).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/163b94a5-709f-4d80-ab80-d744aa6ccfeb.jpeg""}"
24,AK288360_DF060JPEG_cropped_resized(j).jpg,"{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e2e65a45-7a1d-486a-b148-ba9d7528bb84.jpeg""}"
