Filename,locations,Answer_Probabilities,Most_Frequent_Answer
01043B_D333JPEG_cropped_resized(.jpg,https://panoptes-uploads.zooniverse.org/subject_location/d99174c6-7233-457d-80d3-568468e7c52c.jpeg,"{'sterile': 0.833, 'male': 0.083, 'not sure': 0.083}",sterile
01043B_D333JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/c624674d-8f51-413a-9824-9757382101b1.jpeg,"{'sterile': 0.875, 'not sure': 0.083, 'female': 0.042}",sterile
01043B_D333JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/61f755c7-8f1e-4158-9cf3-c92ca75ebd81.jpeg,"{'sterile': 0.875, 'not sure': 0.083, 'female': 0.042}",sterile
01043B_D333JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/62ab0607-ec8c-4836-8cd0-24c49f2a17b0.jpeg,"{'sterile': 0.917, 'not sure': 0.083}",sterile
01043B_DNA333JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/9a35930c-3d8b-4fb5-8036-90521a5fd5c7.jpeg,{'sterile': 1.0},sterile
01043B_DNA333JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/de75bc8a-35d7-42ef-bf9b-b7fc3a00abab.jpeg,{'sterile': 1.0},sterile
01043B_DNA333JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4543bcd4-1b9e-4705-bfce-b76af1c6d234.jpeg,"{'sterile': 0.864, 'male': 0.091, 'not sure': 0.045}",sterile
01043B_DNA333JPEG_cropped_resize.jpg,https://panoptes-uploads.zooniverse.org/subject_location/703b2c7b-9973-425e-8710-86724132b06f.jpeg,"{'sterile': 0.917, 'not sure': 0.083}",sterile
01043B_DNA333JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/7e28a71a-cf6f-434e-b905-83791af28b6f.jpeg,"{'sterile': 0.917, 'not sure': 0.083}",sterile
01043B_DNA333JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/9482b412-7980-46e6-ad21-795f344dda1b.jpeg,"{'sterile': 0.75, 'not sure': 0.167, 'female': 0.083}",sterile
36381_2JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/05114ae3-d1de-46a8-9e30-a7a504a8281a.jpeg,"{'male': 0.75, 'both': 0.083, 'sterile': 0.083, 'female': 0.083}",male
